diff,angle,time
-86,23712,3.1782970428466797
-99,23811,3.188858985900879
-110,23921,3.1994709968566895
-75,23996,3.2100110054016113
-85,24081,3.220550060272217
-85,24166,3.2310872077941895
-95,24261,3.2417690753936768
-80,24341,3.2523250579833984
-61,24402,3.262860059738159
-87,24489,3.273555040359497
-60,24549,3.284187078475952
8110,16439,3.2948110103607178
-52,16491,3.305417060852051
-77,16568,3.316026210784912
-60,16628,3.3266351222991943
-42,16670,3.3372490406036377
-66,16736,3.347856044769287
-50,16786,3.3584561347961426
-47,16833,3.3690671920776367
-30,16863,3.3797922134399414
-43,16906,3.3903791904449463
-57,16963,3.4009251594543457
-40,17003,3.411534070968628
-22,17025,3.422159194946289
-50,17075,3.43276309967041
-22,17097,3.443366050720215
-46,17143,3.453979015350342
-29,17172,3.464586019515991
-26,17198,3.4752089977264404
-11,17209,3.4858291149139404
-25,17234,3.4964351654052734
-19,17253,3.507045030593872
-20,17273,3.5177600383758545
-15,17288,3.5284030437469482
-15,17303,3.5390031337738037
-11,17314,3.5496110916137695
-21,17335,3.5602622032165527
-6,17341,3.570918083190918
-1,17342,3.581521987915039
-1,17343,3.592107057571411
15,17328,3.6027181148529053
2,17326,3.6132941246032715
-15,17341,3.6238901615142822
16,17325,3.6344661712646484
-15,17340,3.645047187805176
0,17340,3.6556880474090576
0,17340,3.6662681102752686
1,17339,3.6768851280212402
13,17326,3.6875901222229004
0,17326,3.6982641220092773
0,17326,3.708909034729004
-15,17341,3.719506025314331
1,17340,3.730087995529175
1,17339,3.7407259941101074
14,17325,3.751315116882324
-12,17337,3.7618072032928467
-4,17341,3.772463083267212
2,17339,3.7829930782318115
12,17327,3.793516159057617
-14,17341,3.8040480613708496
2,17339,3.8145651817321777
15,17324,3.824989080429077
-2,17326,3.8354270458221436
-14,17340,3.845870018005371
0,17340,3.8563051223754883
13,17327,3.866765022277832
-14,17341,3.8772799968719482
15,17326,3.887801170349121
-14,17340,3.8983540534973145
15,17325,3.908881187438965
-15,17340,3.919434070587158
0,17340,3.9299590587615967
-1,17341,3.9404821395874023
0,17341,3.9510080814361572
1,17340,3.9615321159362793
12,17328,3.9720191955566406
2,17326,3.982523202896118
0,17326,3.993025064468384
-14,17340,4.003504037857056
0,17340,4.0139000415802
15,17325,4.0243120193481445
-16,17341,4.034762144088745
0,17341,4.045192003250122
14,17327,4.055714130401611
-1,17328,4.06611704826355
2,17326,4.076501131057739
-14,17340,4.086924076080322
14,17326,4.097348213195801
0,17326,4.1077940464019775
-1,17327,4.118242979049683
0,17327,4.128673076629639
-14,17341,4.139142036437988
2,17339,4.149646043777466
14,17325,4.1600661277771
-1,17326,4.170709133148193
0,17326,4.181249141693115
-1,17327,4.191788196563721
0,17327,4.202325105667114
-12,17339,4.213024139404297
0,17339,4.223788022994995
-1,17340,4.2344911098480225
12,17328,4.2452051639556885
2,17326,4.255832195281982
-15,17341,4.266533136367798
1,17340,4.277193069458008
-1,17341,4.2879040241241455
14,17327,4.2986531257629395
-13,17340,4.3092920780181885
14,17326,4.320017099380493
-14,17340,4.330795049667358
14,17326,4.341423988342285
-13,17339,4.352131128311157
0,17339,4.362760066986084
2,17337,4.373309135437012
12,17325,4.384040117263794
-14,17339,4.394790172576904
-1,17340,4.405417203903198
-1,17341,4.416015148162842
0,17341,4.426622152328491
14,17327,4.437218189239502
3,17324,4.447805166244507
-1,17325,4.4584150314331055
-15,17340,4.469027996063232
14,17326,4.479788064956665
0,17326,4.490498065948486
1,17325,4.5012102127075195
-15,17340,4.511963129043579
12,17328,4.522654056549072
-12,17340,4.533236980438232
15,17325,4.543812036514282
0,17325,4.554387092590332
-1,17326,4.564968109130859
0,17326,4.575456142425537
-14,17340,4.585913181304932
14,17326,4.596365213394165
0,17326,4.606844186782837
-14,17340,4.617355108261108
1,17339,4.627825021743774
-1,17340,4.638341188430786
14,17326,4.648849010467529
1,17325,4.659548044204712
-2,17327,4.670250177383423
-14,17341,4.680865049362183
15,17326,4.691472053527832
-1,17327,4.7020790576934814
-13,17340,4.712707996368408
14,17326,4.723182201385498
-14,17340,4.733849048614502
1,17339,4.7445549964904785
-1,17340,4.755125045776367
-1,17341,4.76566219329834
15,17326,4.77625298500061
2,17324,4.786708116531372
-15,17339,4.797168016433716
13,17326,4.807687044143677
-15,17341,4.818145990371704
16,17325,4.828556060791016
-2,17327,4.8391711711883545
-13,17340,4.849708080291748
0,17340,4.8601601123809814
14,17326,4.87073016166687
1,17325,4.881336212158203
1,17324,4.8917810916900635
-1,17325,4.9022791385650635
-14,17339,4.912837982177734
-1,17340,4.923394203186035
-1,17341,4.933948993682861
2,17339,4.944516181945801
15,17324,4.955069065093994
0,17324,4.9657301902771
-3,17327,4.97628116607666
-12,17339,4.986932992935181
13,17326,4.997542142868042
-13,17339,5.008130073547363
13,17326,5.018817186355591
-15,17341,5.029321193695068
15,17326,5.039880990982056
0,17326,5.050430059432983
-14,17340,5.060949087142944
-1,17341,5.071487188339233
2,17339,5.082065105438232
0,17339,5.092602014541626
12,17327,5.1031341552734375
-13,17340,5.113706111907959
0,17340,5.124281167984009
15,17325,5.134834051132202
-2,17327,5.145385980606079
-1,17328,5.155961990356445
2,17326,5.166520118713379
0,17326,5.176928997039795
-14,17340,5.187409162521362
0,17340,5.197899103164673
15,17325,5.2082250118255615
-2,17327,5.218598127365112
-14,17341,5.2290120124816895
2,17339,5.239428997039795
-2,17341,5.249860048294067
1,17340,5.260228157043457
14,17326,5.270637035369873
